sample,cpu_percent,mem_used,log_entry
0,100.00,9140551680,281474985851207680
1,1.25,9132068864,3377708852596736
2,2.26,9129926656,6473933594271744
3,0.75,9129885696,1970333966860288
4,0.62,9128951808,1688858989215744
5,1.28,9127014400,3659183824252928
6,5.36,9130835968,15199657873211392
7,2.02,9137209344,5629508671422464
8,7.06,9136267264,19984732482723840
9,2.40,9136394240,6755408577449984
10,0.80,9142951936,2251808956637184
11,0.81,9146155008,2251808959840256
12,0.65,9144061952,1970333981036544
13,1.14,9145282560,3096233889099776
14,1.56,9141346304,4503608768716800
15,0.84,9140563968,2251808954249216
16,0.47,9140908032,1407384024461312
17,0.98,9141075968,2814758908182528
18,0.60,9139019776,1688858999283712
19,1.65,9135439872,4503608762810368
